province,month,demand_ton,local_supply_ton,import_received_ton,transfer_in_ton,transfer_out_ton,inventory_ton,shortage_ton,safe_stock
Jambi,Apr,1709.0,694.7,1709.0,0.0,0.0,3726.3,0.0,1
Jambi,Mei,1765.8,752.6,3686.5,0.0,0.0,6399.6,0.0,1
Jambi,Jun,1709.4,443.8,1709.4,0.0,0.0,6843.4,0.0,1
Jambi,Jul,1766.5,107.6,2088.8,0.0,0.0,7273.3,0.0,1
Jambi,Agu,1765.8,338.4,1444.1,0.0,0.0,7289.9,0.0,1
Jambi,Sep,1708.9,175.3,3226.0,0.0,0.0,8982.3,0.0,1
Jambi,Okt,1766.0,0.0,0.0,0.0,0.0,7216.3,0.0,1
Jambi,Nov,1708.9,166.8,1647.2,0.0,0.0,7321.4,0.0,1
Jambi,Des,1770.6,193.0,991.9,0.0,0.0,6735.6,0.0,1
Sumatera Selatan,Jan,5435.9,0.0,7526.6,0.0,0.0,2090.6,0.0,0
Sumatera Selatan,Feb,5074.1,0.0,5036.0,0.0,0.0,2052.5,0.0,0
Sumatera Selatan,Mar,5425.4,0.0,10911.7,0.0,0.0,7538.8,0.0,1
Sumatera Selatan,Apr,5252.9,0.0,5252.9,0.0,0.0,7538.8,0.0,1
Sumatera Selatan,Mei,5423.4,0.0,11322.4,0.0,0.0,13437.8,0.0,1
Sumatera Selatan,Jun,5248.4,0.0,5248.4,0.0,0.0,13437.8,0.0,1
Sumatera Selatan,Jul,5423.3,0.0,15761.6,0.0,0.0,23776.0,0.0,1
Sumatera Selatan,Agu,5423.5,0.0,3914.2,0.0,0.0,22266.6,0.0,1
Sumatera Selatan,Sep,5248.4,0.0,11689.9,0.0,0.0,28708.1,0.0,1
Sumatera Selatan,Okt,5423.3,0.0,0.0,0.0,0.0,23284.8,0.0,1
Sumatera Selatan,Nov,5248.4,0.0,4272.6,0.0,0.0,22309.0,0.0,1
Sumatera Selatan,Des,5423.3,0.0,3038.0,0.0,0.0,19923.7,0.0,1
Bengkulu,Jan,5902.3,0.0,8172.3,0.0,0.0,2270.0,0.0,0
Bengkulu,Feb,5516.0,0.0,5474.5,0.0,0.0,2228.6,0.0,0
Bengkulu,Mar,5897.0,0.0,11860.2,0.0,0.0,8191.7,0.0,1
Bengkulu,Apr,5708.0,0.0,5708.0,0.0,0.0,8191.7,0.0,1
Bengkulu,Mei,5896.0,0.0,12309.1,0.0,0.0,14604.8,0.0,1
Bengkulu,Jun,5705.8,0.0,5705.8,0.0,0.0,14604.8,0.0,1
Bengkulu,Jul,5896.0,0.0,17135.4,0.0,0.0,25844.2,0.0,1
Bengkulu,Agu,5896.1,0.0,3929.1,0.0,0.0,23877.2,0.0,1
Bengkulu,Sep,5705.8,0.0,13588.5,0.0,0.0,31759.9,0.0,1
Bengkulu,Okt,5896.0,0.0,0.0,0.0,0.0,25863.9,0.0,1
